品类,历史tradeId,历史fieldId,字段,类型,历史必填,历史saleProp,Listingify基线来源,CLI本地来源,Listingify基线判断逻辑,CLI缺失处理,create阶段,full-update阶段,incremental阶段,确认状态,CLI代码/验证入口,基线证据
T恤,9655,1630,尺码,多选,是,是,MDM_SKU.size_name/size_code,本地 SKU Excel.size_name/size_code,服饰销售尺码统一为 XXcm，并与商家 SKU 行键、主尺码表行键、多平台尺码表行键保持一致。,无真实 SKU 尺码直接阻断。,当前模板激活且合法时写入,完整字段集覆盖；先合并远端快照,禁止普通增量；颜色/尺码仅作完整伴随字段,待逐字段确认,src/brands/balabala/fields.ts,balabala-product-field-whitepaper.md:712
T恤,9655,1628,颜色,多选,是,是,MDM_SKU.color_name,本地 SKU Excel.color_name,按真实 SKU 颜色去重；枚举字段归一到模板选项，文本字段保留原色名。,未命中枚举时转 AI 归一或人工复核。,当前模板激活且合法时写入,完整字段集覆盖；先合并远端快照,禁止普通增量；颜色/尺码仅作完整伴随字段,待逐字段确认,src/brands/balabala/fields.ts,balabala-product-field-whitepaper.md:713
T恤,9655,5742,AQL抽检标准,文本,是,否,模板枚举 + 固定质检规则,模板枚举 + 固定质检规则,按当前质检口径选择模板合法 AQL 值；如吊牌/规则明确不同，以人工确认规则为准。,缺质检规则时留空并复核。,当前模板激活且合法时写入,完整字段集覆盖；先合并远端快照,仅普通标量，显式 --fields；携带颜色/尺码,待逐字段确认,src/brands/balabala/fields.ts,balabala-product-field-whitepaper.md:714
T恤,9655,29203,上市时间,文本,是,否,MDM_SPU 产品季/年份 + LAUNCH_PLAN 上市时间/产品季,本地 MDM 导出 SPU 信息 产品季/年份 + 本地上市计划 Excel 上市时间/产品季,优先取 MDM/上市计划有效日期和产品季，按字段要求归一为月份、季节或模板枚举；不使用文件名日期。,日期和产品季都缺失时留空并标记上市信息阻断。,当前模板激活且合法时写入,完整字段集覆盖；先合并远端快照,仅普通标量，显式 --fields；携带颜色/尺码,待逐字段确认,src/brands/balabala/fields.ts,balabala-product-field-whitepaper.md:715
T恤,9655,52012,专柜价,文本,是,否,MDM_SPU.price_tag,本地 SKU Excel 挂牌单价；全部 SKU 有效且同款一致,吊牌/展示/市场价只取 SPU 吊牌价；价格区间首档数量固定 1。,缺失、非正数或同款冲突阻断；不回退上市计划价,当前模板激活且合法时写入,完整字段集覆盖；先合并远端快照,仅普通标量，显式 --fields；携带颜色/尺码,本次修复公共价格规则；逐模板待验,src/brands/balabala/prices.ts; tests/balabala-publish-safety.test.ts,balabala-product-field-whitepaper.md:716
T恤,9655,26191,主面料成分含量,文本,是,否,OCR_HANGTAG/OCR_WASHLABEL + COPYWRITING,本地图包/PDF 的可追溯 OCR + 本地文案 Excel,吊牌/洗唛合规事实优先；文案材质补充；枚举字段归一到模板值。,无吊牌/洗唛/文案证据则留空或转合规复核。,当前模板激活且合法时写入,完整字段集覆盖；先合并远端快照,仅普通标量，显式 --fields；携带颜色/尺码,待逐字段确认,src/brands/balabala/fields.ts,balabala-product-field-whitepaper.md:717
T恤,9655,27271,京东市场价,文本,是,否,MDM_SPU.price_tag,本地 SKU Excel 挂牌单价；全部 SKU 有效且同款一致,吊牌/展示/市场价只取 SPU 吊牌价；价格区间首档数量固定 1。,缺失、非正数或同款冲突阻断；不回退上市计划价,当前模板激活且合法时写入,完整字段集覆盖；先合并远端快照,仅普通标量，显式 --fields；携带颜色/尺码,本次修复公共价格规则；逐模板待验,src/brands/balabala/prices.ts; tests/balabala-publish-safety.test.ts,balabala-product-field-whitepaper.md:718
T恤,9655,77224,京东材质成分,多行/结构文本,是,否,OCR_HANGTAG/OCR_WASHLABEL + COPYWRITING,本地图包/PDF 的可追溯 OCR + 本地文案 Excel,吊牌/洗唛合规事实优先；文案材质补充；枚举字段归一到模板值。,无吊牌/洗唛/文案证据则留空或转合规复核。,当前模板激活且合法时写入,完整字段集覆盖；先合并远端快照,仅普通标量，显式 --fields；携带颜色/尺码,待逐字段确认,src/brands/balabala/fields.ts,balabala-product-field-whitepaper.md:719
T恤,9655,56016,功能,文本,是,否,COPYWRITING + LAUNCH_PLAN + REFERENCE_IMAGE,本地文案 Excel + 本地上市计划 Excel + 本地参考图,只取文案、吊牌或图片可证明的功能；枚举字段必须命中模板 options。,无明确功能证据则留空。,当前模板激活且合法时写入,完整字段集覆盖；先合并远端快照,仅普通标量，显式 --fields；携带颜色/尺码,待逐字段确认,src/brands/balabala/fields.ts,balabala-product-field-whitepaper.md:720
T恤,9655,42810,功能(多选),多选,是,否,COPYWRITING + LAUNCH_PLAN + REFERENCE_IMAGE,本地文案 Excel + 本地上市计划 Excel + 本地参考图,只取文案、吊牌或图片可证明的功能；枚举字段必须命中模板 options。,无明确功能证据则留空。,当前模板激活且合法时写入,完整字段集覆盖；先合并远端快照,仅普通标量，显式 --fields；携带颜色/尺码,待逐字段确认,src/brands/balabala/fields.ts,balabala-product-field-whitepaper.md:721
